Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
276,Bradrick Shaw*,Wisconsin,Big Ten,11,96,365,3.8,4,33.2,3,21,7.0,0,1.9,99,386,3.9,4,,bradrick-shaw-1
277,Sihiem King*,Kentucky,SEC,13,79,364,4.6,2,28.0,15,86,5.7,0,6.6,94,450,4.8,2,,sihiem-king-1
278,Stephen Carr*,USC,Pac-12,10,65,363,5.6,3,36.3,17,188,11.1,0,18.8,82,551,6.7,3,,stephen-carr-2
279,Joshua Fields,UTEP,CUSA,11,89,362,4.1,2,32.9,6,26,4.3,0,2.4,95,388,4.1,2,,joshua-fields-1
280,Montell Cozart*,Boise State,MWC,14,86,361,4.2,4,25.8,3,45,15.0,0,3.2,89,406,4.6,4,,montell-cozart-1
281,Dexter Williams*,Notre Dame,Ind,10,39,360,9.2,4,36.0,2,13,6.5,1,1.3,41,373,9.1,5,,dexter-williams-1
282,Jamarius Henderson*,Troy,Sun Belt,12,45,355,7.9,4,29.6,11,95,8.6,0,7.9,56,450,8.0,4,,jamarius-henderson-1
283,Anthony Smith,Texas State,Sun Belt,11,74,352,4.8,3,32.0,3,4,1.3,0,0.4,77,356,4.6,3,,anthony-smith-13
284,Zamore Zigler,San Jose State,MWC,13,71,352,5.0,1,27.1,6,38,6.3,0,2.9,77,390,5.1,1,,zamore-zigler-1
285,Marcus Jones*,Northern Illinois,MAC,12,83,350,4.2,3,29.2,12,78,6.5,0,6.5,95,428,4.5,3,,marcus-jones-9
286,Sherman Badie,Tulane,American,12,60,350,5.8,3,29.2,3,14,4.7,0,1.2,63,364,5.8,3,,sherman-badie-1
287,Jordan Davis,Louisiana,Sun Belt,10,71,347,4.9,5,34.7,1,19,19.0,0,1.9,72,366,5.1,5,,jordan-davis-5
288,Kerrith Whyte*,Florida Atlantic,CUSA,14,55,347,6.3,2,24.8,7,46,6.6,0,3.3,62,393,6.3,2,,kerrith-whyte-1
289,Malik Roberson,San Jose State,MWC,13,87,347,4.0,1,26.7,7,60,8.6,0,4.6,94,407,4.3,1,,malik-roberson-1
290,Mike Epstein,Illinois,Big Ten,5,57,346,6.1,3,69.2,4,59,14.8,1,11.8,61,405,6.6,4,,mike-epstein-2
291,Lamar Jordan,New Mexico,MWC,11,77,343,4.5,2,31.2,0,0,,0,0.0,77,343,4.5,2,,lamar-jordan-1
292,Nate Hopkins,Connecticut,American,11,92,343,3.7,7,31.2,2,11,5.5,0,1.0,94,354,3.8,7,,nate-hopkins-1
293,Van Edwards Jr.*,Akron,MAC,14,94,343,3.6,2,24.5,8,33,4.1,0,2.4,102,376,3.7,2,,van-edwards-jr-1
294,Tra Minter,South Alabama,Sun Belt,12,107,341,3.2,1,28.4,22,247,11.2,1,20.6,129,588,4.6,2,,tra-minter-1
295,Kellen Mond*,Texas A&M,SEC,11,89,340,3.8,3,30.9,0,0,,0,0.0,89,340,3.8,3,,kellen-mond-1
296,Steven Montez,Colorado,Pac-12,12,132,338,2.6,3,28.2,1,11,11.0,1,0.9,133,349,2.6,4,,steven-montez-1
297,Jesse Ertz*,Kansas State,Big 12,5,65,336,5.2,3,67.2,0,0,,0,0.0,65,336,5.2,3,,jesse-ertz-1
298,Xzaviar Campbell,Nevada-Las Vegas,MWC,12,72,336,4.7,1,28.0,0,0,,0,0.0,72,336,4.7,1,,xzaviar-campbell-1
299,Dillion Birden*,Houston,American,6,60,333,5.6,4,55.5,8,65,8.1,0,10.8,68,398,5.9,4,,dillion-birden-1
300,Warren Ball*,Akron,MAC,5,75,332,4.4,4,66.4,7,18,2.6,1,3.6,82,350,4.3,5,,warren-ball-1
301,Ben Luckett,Louisiana-Monroe,Sun Belt,10,49,331,6.8,5,33.1,3,29,9.7,0,2.9,52,360,6.9,5,,ben-luckett-1
302,Sewo Olonilua*,Texas Christian,Big 12,14,64,330,5.2,7,23.6,19,166,8.7,0,11.9,83,496,6.0,7,,sewo-olonilua-1
