Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,Tot
11,Syracuse,13,40.2,20.8,35.6,58.5,264.7,1.7,45.6,202.1,4.4,2.9,81.2,466.8,5.7,10.3,11.0,2.2,23.6,7.2,59.1,0.5,0.9,1.4
12,Ohio,13,40.1,14.2,23.9,59.5,208.2,1.9,42.7,258.7,6.1,3.1,66.6,466.9,7.0,9.2,13.0,2.3,24.5,4.9,50.2,0.8,0.6,1.5
13,Oklahoma State,13,38.4,22.5,37.8,59.3,308.7,2.5,39.9,190.7,4.8,2.3,77.8,499.4,6.4,14.2,10.2,1.8,26.1,6.8,70.5,0.7,1.0,1.7
14,Georgia,14,37.9,17.3,25.5,67.8,226.9,2.4,40.4,239.2,5.9,2.1,65.9,466.1,7.1,10.1,12.1,1.5,23.6,5.5,49.6,0.6,0.4,1.0
15,Washington State,13,37.5,36.8,52.1,70.6,373.5,3.0,21.4,78.9,3.7,1.8,73.5,452.5,6.2,17.8,4.5,1.9,24.5,6.6,65.0,0.3,0.8,1.1
16,Appalachian State,13,37.3,15.1,24.5,61.4,190.6,2.1,41.5,240.4,5.8,2.4,66.1,431.0,6.5,8.6,10.1,1.7,20.4,6.3,57.5,0.4,0.9,1.3
17,Texas Tech,12,37.3,30.1,44.6,67.5,352.6,2.3,36.4,131.8,3.6,2.2,81.0,484.3,6.0,16.7,7.9,1.9,26.6,7.9,73.8,0.6,1.3,1.8
18,Missouri,13,36.6,21.6,34.7,62.3,279.4,2.2,42.5,202.4,4.8,2.1,77.2,481.8,6.2,12.3,9.9,2.4,24.6,6.9,61.5,0.5,0.6,1.2
19,Texas A&M,13,36.0,19.5,34.0,57.5,252.6,1.9,41.2,219.0,5.3,2.2,75.2,471.6,6.3,11.8,11.6,2.4,25.8,6.2,50.9,0.6,0.7,1.3
20,Boise State,13,35.4,23.8,35.4,67.4,292.0,2.4,39.9,167.5,4.2,1.8,75.3,459.5,6.1,13.0,9.8,1.3,24.2,5.8,53.8,0.4,0.6,1.0
21,Michigan,13,35.2,17.2,26.8,64.1,215.7,1.8,42.2,203.8,4.8,2.0,69.0,419.5,6.1,9.5,10.5,1.6,21.5,6.8,63.5,0.2,0.7,0.9
22,Florida,13,35.0,16.7,28.0,59.6,213.5,2.2,40.3,213.3,5.3,1.8,68.3,426.8,6.2,9.5,11.1,1.3,21.8,7.3,62.7,0.6,0.5,1.1
23,Cincinnati,13,34.9,17.5,28.8,60.7,219.0,1.7,46.2,239.5,5.2,2.8,74.9,458.5,6.1,9.9,12.4,1.2,23.5,8.2,73.7,1.0,0.5,1.5
24,Temple,13,34.9,19.4,34.0,57.0,253.6,1.5,37.5,157.8,4.2,2.2,71.5,411.5,5.8,11.8,8.0,1.2,21.1,7.3,70.1,0.5,1.5,1.9
25,Oregon,13,34.8,18.9,32.1,59.0,247.8,2.2,40.5,180.8,4.5,2.2,72.5,428.7,5.9,10.8,9.2,1.6,21.6,4.6,43.7,0.7,0.6,1.3
26,Buffalo,14,34.6,16.4,29.9,54.9,225.4,2.0,41.5,189.6,4.6,2.6,71.4,414.9,5.8,9.1,9.7,3.2,22.1,4.9,40.9,0.5,0.9,1.4
27,Florida International,13,34.6,19.3,29.5,65.5,245.7,2.1,36.9,176.6,4.8,2.1,66.4,422.3,6.4,11.0,8.3,2.0,21.3,4.9,43.8,0.4,0.6,1.0
28,Fresno State,14,34.6,21.5,31.4,68.4,267.1,1.9,35.4,154.9,4.4,2.2,66.8,422.1,6.3,11.4,7.5,1.3,20.1,5.1,43.8,0.6,0.4,1.0
29,North Texas,13,34.6,24.7,38.8,63.7,306.8,2.2,35.5,153.8,4.3,1.9,74.3,460.5,6.2,14.0,8.3,2.4,24.7,4.4,49.5,0.6,0.7,1.3
30,Ole Miss,12,33.9,23.5,36.8,63.9,346.4,1.8,34.8,164.9,4.7,2.0,71.6,511.3,7.1,13.6,8.8,1.8,24.1,7.3,66.8,0.4,0.8,1.2
31,North Carolina State,13,33.8,25.7,38.2,67.3,313.2,1.9,37.2,143.1,3.8,2.1,75.4,456.2,6.1,14.2,7.7,2.3,24.2,4.6,44.7,0.5,0.8,1.4
32,Penn State,13,33.8,15.8,29.2,54.2,218.2,1.6,40.0,204.8,5.1,2.6,69.2,423.0,6.1,9.0,10.3,2.2,21.5,4.7,42.4,1.0,0.6,1.6
33,Georgia Tech,13,33.6,4.3,9.7,44.4,83.8,0.5,57.3,325.1,5.7,3.5,67.0,408.8,6.1,3.0,16.8,1.4,21.2,3.8,36.7,1.0,0.3,1.3
34,Liberty,12,33.3,20.4,37.3,54.7,261.5,1.8,40.6,161.4,4.0,2.5,77.9,422.9,5.4,12.8,8.4,1.9,23.0,4.3,38.2,0.5,1.5,2.0
