Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
38,Fred Ross*,Mississippi State,SEC,13,88,1007,11.4,5,77.5,2,42,21.0,1,3.2,90,1049,11.7,6,,fred-ross-1
39,Shaq Washington*,Cincinnati,American,13,90,982,10.9,6,75.5,0,0,,0,0.0,90,982,10.9,6,,shaq-washington-1
40,Robert Davis*,Georgia State,Sun Belt,13,61,980,16.1,6,75.4,0,0,,0,0.0,61,980,16.1,6,,robert-davis-10
41,Alex Erickson*,Wisconsin,Big Ten,13,77,978,12.7,3,75.2,7,111,15.9,0,8.5,84,1089,13.0,3,,alex-erickson-1
42,Pharoh Cooper,South Carolina,SEC,12,66,973,14.7,8,81.1,24,111,4.6,1,9.3,90,1084,12.0,9,,pharoh-cooper-1
43,Nicholas Norris*,Western Kentucky,CUSA,14,63,971,15.4,6,69.4,6,63,10.5,1,4.5,69,1034,15.0,7,,nicholas-norris-1
44,Zach Pascal,Old Dominion,CUSA,12,68,970,14.3,8,80.8,15,165,11.0,1,13.8,83,1135,13.7,9,,zach-pascal-1
45,Bryce Treggs*,California,Pac-12,13,45,956,21.2,7,73.5,0,0,,0,0.0,45,956,21.2,7,,bryce-treggs-1
46,Ronnie Moore*,Bowling Green,MAC,14,72,954,13.3,6,68.1,9,55,6.1,1,3.9,81,1009,12.5,7,,ronnie-moore-3
47,Robby Anderson*,Temple,American,14,70,939,13.4,7,67.1,4,15,3.8,0,1.1,74,954,12.9,7,,robby-anderson-1
48,Tyler Boyd*,Pitt,ACC,12,91,926,10.2,6,77.2,40,349,8.7,0,29.1,131,1275,9.7,6,,tyler-boyd-1
49,Casey Martin*,Southern Mississippi,CUSA,14,80,925,11.6,7,66.1,1,-5,-5.0,0,-0.4,81,920,11.4,7,,casey-martin-1
50,Jordan Williams,Ball State,MAC,12,72,920,12.8,8,76.7,0,0,,0,0.0,72,920,12.8,8,,jordan-williams-3
51,De'Runnya Wilson*,Mississippi State,SEC,13,60,918,15.3,10,70.6,0,0,,0,0.0,60,918,15.3,10,,derunnya-wilson-1
52,Jordan Westerkamp*,Nebraska,Big Ten,13,65,918,14.1,7,70.6,0,0,,0,0.0,65,918,14.1,7,,jordan-westerkamp-1
53,Travis Rudolph*,Florida State,ACC,13,59,916,15.5,7,70.5,0,0,,0,0.0,59,916,15.5,7,,travis-rudolph-1
54,Josh Reynolds*,Texas A&M,SEC,12,51,907,17.8,5,75.6,0,0,,0,0.0,51,907,17.8,5,,josh-reynolds-1
55,Ricky Jones*,Indiana,Big Ten,13,54,906,16.8,5,69.7,2,20,10.0,0,1.5,56,926,16.5,5,,ricky-jones-1
56,Cayleb Jones*,Arizona,Pac-12,13,55,904,16.4,5,69.5,0,0,,0,0.0,55,904,16.4,5,,cayleb-jones-2
57,Devonte Boyd,Nevada-Las Vegas,MWC,12,54,904,16.7,7,75.3,0,0,,0,0.0,54,904,16.7,7,,devonte-boyd-1
58,Artavis Scott*,Clemson,ACC,15,93,901,9.7,6,60.1,6,20,3.3,1,1.3,99,921,9.3,7,,artavis-scott-1
59,Shelton Gibson*,West Virginia,Big 12,13,37,887,24.0,9,68.2,0,0,,0,0.0,37,887,24.0,9,,shelton-gibson-1
60,Geronimo Allison,Illinois,Big Ten,12,65,882,13.6,3,73.5,0,0,,0,0.0,65,882,13.6,3,,geronimo-allison-1
61,Teddy Ruben,Troy,Sun Belt,12,63,879,14.0,9,73.3,2,12,6.0,0,1.0,65,891,13.7,9,,teddy-ruben-1
62,Thomas Duarte*,UCLA,Pac-12,13,53,872,16.5,10,67.1,0,0,,0,0.0,53,872,16.5,10,,thomas-duarte-1
63,Chris Moore*,Cincinnati,American,12,40,870,21.8,7,72.5,2,10,5.0,0,0.8,42,880,21.0,7,,chris-moore-4
64,K.D. Cannon*,Baylor,Big 12,13,50,868,17.4,6,66.8,1,2,2.0,0,0.2,51,870,17.1,6,,kd-cannon-1
65,David Glidden*,Oklahoma State,Big 12,13,57,866,15.2,3,66.6,0,0,,0,0.0,57,866,15.2,3,,david-glidden-1
66,Jesse Kroll*,Central Michigan,MAC,13,61,866,14.2,4,66.6,0,0,,0,0.0,61,866,14.2,4,,jesse-kroll-1
67,Malcolm Mitchell*,Georgia,SEC,13,58,865,14.9,5,66.5,0,0,,0,0.0,58,865,14.9,5,,malcolm-mitchell-2
