Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1598,Isaac James,Ball State,MAC,6,1,9,9.0,0,1.5,0,0,,0,0.0,1,9,9.0,0,,isaac-james-1
1599,Jack Westover,Washington,Pac-12,4,1,9,9.0,0,2.3,5,22,4.4,0,5.5,6,31,5.2,0,,jack-westover-1
1600,Jevon Bigelow,Fresno State,MWC,4,1,9,9.0,0,2.3,11,45,4.1,0,11.3,12,54,4.5,0,,jevon-bigelow-1
1601,Kadas Reams,Temple,American,5,1,9,9.0,0,1.8,0,0,,0,0.0,1,9,9.0,0,,kadas-reams-1
1602,Larry McCammon III,Florida Atlantic,CUSA,2,2,9,4.5,0,4.5,17,79,4.6,0,39.5,19,88,4.6,0,,larry-mccammon-iii-1
1603,Mark Williams,Kent State,MAC,3,1,9,9.0,1,3.0,0,0,,0,0.0,1,9,9.0,1,,mark-williams-11
1604,Matt Laroche,Georgia Southern,Sun Belt,13,4,9,2.3,0,0.7,45,223,5.0,0,17.2,49,232,4.7,0,,matt-laroche-1
1605,Onuma Dieke,Massachusetts,Ind,4,1,9,9.0,0,2.3,0,0,,0,0.0,1,9,9.0,0,,onuma-dieke-1
1606,Sampson James,Indiana,Big Ten,6,1,9,9.0,0,1.5,32,96,3.0,0,16.0,33,105,3.2,0,,sampson-james-1
1607,Shermari Jones,Coastal Carolina,Sun Belt,12,1,9,9.0,0,0.8,84,398,4.7,3,33.2,85,407,4.8,3,,shermari-jones-1
1608,Trevor Hohlt,Ball State,MAC,2,1,9,9.0,0,4.5,0,0,,0,0.0,1,9,9.0,0,,trevor-hohlt-1
1609,Tylan Knight,Ole Miss,SEC,10,2,9,4.5,0,0.9,5,17,3.4,0,1.7,7,26,3.7,0,,tylan-knight-1
1610,Tyson Mobley,Coastal Carolina,Sun Belt,5,2,9,4.5,0,1.8,2,25,12.5,0,5.0,4,34,8.5,0,,tyson-mobley-1
1611,Wykeen Gill,Kansas State,Big 12,2,3,9,3.0,0,4.5,0,0,,0,0.0,3,9,3.0,0,,wykeen-gill-1
1612,Ben Miles,Kansas,Big 12,9,3,8,2.7,0,0.9,0,0,,0,0.0,3,8,2.7,0,,ben-miles-1
1613,Caleb McMillan,Marshall,CUSA,7,1,8,8.0,0,1.1,0,0,,0,0.0,1,8,8.0,0,,caleb-mcmillan-1
1614,Challen Faamatau,Maryland,Big Ten,3,1,8,8.0,0,2.7,1,4,4.0,0,1.3,2,12,6.0,0,,challen-faamatau-1
1615,Dylan Downing,Nevada-Las Vegas,MWC,2,2,8,4.0,0,4.0,3,8,2.7,0,4.0,5,16,3.2,0,,dylan-downing-2
1616,Frank Harris,UTSA,CUSA,12,1,8,8.0,0,0.7,95,528,5.6,9,44.0,96,536,5.6,9,,frank-harris-3
1617,Garland LaFrance,Western Kentucky,CUSA,1,1,8,8.0,0,8.0,0,0,,0,0.0,1,8,8.0,0,,garland-lafrance-1
1618,Garrett Shrader,Mississippi State,SEC,4,1,8,8.0,0,2.0,0,0,,0,0.0,1,8,8.0,0,,garrett-shrader-1
1619,Jacob Hopper,South Alabama,Sun Belt,10,1,8,8.0,0,0.8,0,0,,0,0.0,1,8,8.0,0,,jacob-hopper-1
1620,James Palmer,Tulsa,American,9,2,8,4.0,1,0.9,0,0,,0,0.0,2,8,4.0,1,,james-palmer-1
1621,Jerry Howard,Georgia Tech,ACC,10,1,8,8.0,0,0.8,3,17,5.7,0,1.7,4,25,6.3,0,,jerry-howard-2
1622,Joeseph Sewell,Middle Tennessee State,CUSA,7,1,8,8.0,0,1.1,0,0,,0,0.0,1,8,8.0,0,,joeseph-sewell-1
1623,Juma Otoviano,Rice,CUSA,2,1,8,8.0,0,4.0,45,195,4.3,0,97.5,46,203,4.4,0,,juma-otoviano-1
1624,Marquavius Weaver,Memphis,American,11,1,8,8.0,0,0.7,37,190,5.1,1,17.3,38,198,5.2,1,,marquavius-weaver-1
1625,Mason Barta,Kansas State,Big 12,10,1,8,8.0,0,0.8,0,0,,0,0.0,1,8,8.0,0,,mason-barta-1
1626,Nick Lenners,Kansas State,Big 12,9,3,8,2.7,0,0.9,0,0,,0,0.0,3,8,2.7,0,,nick-lenners-1
1627,Oscar Adaway III,North Texas,CUSA,7,2,8,4.0,0,1.1,99,572,5.8,3,81.7,101,580,5.7,3,,oscar-adaway-iii-1
1628,Savion Williams,TCU,Big 12,7,1,8,8.0,0,1.1,0,0,,0,0.0,1,8,8.0,0,,savion-williams-2
1629,Seth Paige,Georgia State,Sun Belt,1,1,8,8.0,0,8.0,5,13,2.6,0,13.0,6,21,3.5,0,,seth-paige-1
1630,Sione Finau,BYU,Ind,6,2,8,4.0,0,1.3,12,48,4.0,0,8.0,14,56,4.0,0,,sione-finau-1
1631,Stone Scarcelle,Marshall,CUSA,9,1,8,8.0,0,0.9,0,0,,0,0.0,1,8,8.0,0,,stone-scarcelle-1
1632,Trevor Lawrence,Clemson,ACC,10,1,8,8.0,0,0.8,68,203,3.0,8,20.3,69,211,3.1,8,H-2,trevor-lawrence-1
1633,Tristan Gebbia,Oregon State,Pac-12,4,1,8,8.0,1,2.0,19,-16,-0.8,2,-4.0,20,-8,-0.4,3,,tristan-gebbia-1
1634,Ty McCullouch,Colorado State,MWC,2,1,8,8.0,0,4.0,0,0,,0,0.0,1,8,8.0,0,,ty-mccullouch-1
1635,Tyler Hussey,Troy,Sun Belt,6,1,8,8.0,1,1.3,0,0,,0,0.0,1,8,8.0,1,,tyler-hussey-1
1636,Adam Cousins,UTEP,CUSA,2,1,7,7.0,0,3.5,0,0,,0,0.0,1,7,7.0,0,,adam-cousins-1
1637,Brady White,Memphis,American,11,1,7,7.0,0,0.6,63,88,1.4,2,8.0,64,95,1.5,2,,brady-white-1
1638,Caden Leggett,Texas Tech,Big 12,10,3,7,2.3,0,0.7,0,0,,0,0.0,3,7,2.3,0,,caden-leggett-1
1639,Clay Markoff,Washington State,Pac-12,4,1,7,7.0,0,1.8,4,12,3.0,0,3.0,5,19,3.8,0,,clay-markoff-1
1640,Conner McCarthy,Coastal Carolina,Sun Belt,6,1,7,7.0,0,1.2,0,0,,0,0.0,1,7,7.0,0,,conner-mccarthy-1
1641,Dalen Morris,Navy,American,9,1,7,7.0,0,0.8,68,46,0.7,2,5.1,69,53,0.8,2,,dalen-morris-1
1642,Dalen Morris,Navy,American,9,1,7,7.0,0,0.8,68,46,0.7,2,5.1,69,53,0.8,2,,dalen-morris-2
1643,Damon Smith,Oklahoma,Big 12,2,2,7,3.5,0,3.5,0,0,,0,0.0,2,7,3.5,0,,damon-smith-2
1644,Dawson Downing,Missouri,SEC,10,1,7,7.0,0,0.7,1,2,2.0,0,0.2,2,9,4.5,0,,dawson-downing-1
1645,Dejuan Ellis,Maryland,Big Ten,5,1,7,7.0,0,1.4,0,0,,0,0.0,1,7,7.0,0,,dejuan-ellis-1
1646,Devin Jennings,Wyoming,MWC,6,1,7,7.0,0,1.2,2,5,2.5,0,0.8,3,12,4.0,0,,devin-jennings-1
1647,E.J. Smith,Stanford,Pac-12,3,3,7,2.3,0,2.3,0,0,,0,0.0,3,7,2.3,0,,ej-smith-2
1648,Jacoby Hopkins,Texas State,Sun Belt,6,1,7,7.0,0,1.2,0,0,,0,0.0,1,7,7.0,0,,jacoby-hopkins-1
1649,Jake Spiewak,Air Force,MWC,6,1,7,7.0,0,1.2,0,0,,0,0.0,1,7,7.0,0,,jake-spiewak-1
1650,Juwuan Price,New Mexico State,Ind,2,5,7,1.4,0,3.5,33,222,6.7,1,111.0,38,229,6.0,1,,juwuan-price-1
1651,Kameron McQueen,Kansas,Big 12,7,1,7,7.0,0,1.0,0,0,,0,0.0,1,7,7.0,0,,kameron-mcqueen-1
1652,Landon Burrell,Middle Tennessee State,CUSA,1,2,7,3.5,0,7.0,0,0,,0,0.0,2,7,3.5,0,,landon-burrell-1
1653,Leroy Deshazor,Arkansas State,Sun Belt,7,1,7,7.0,0,1.0,1,-17,-17.0,0,-2.4,2,-10,-5.0,0,,leroy-deshazor-1
1654,Lexington Joseph,Florida International,CUSA,3,2,7,3.5,0,2.3,8,30,3.8,0,10.0,10,37,3.7,0,,lexington-joseph-1
