Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,Tot
98,Virginia Tech,13,23.7,13.3,24.3,54.7,176.4,1.3,40.9,185.3,4.5,1.2,65.2,361.7,5.5,7.7,9.5,1.5,18.8,5.4,45.9,0.5,0.4,0.9
99,Iowa,14,23.4,15.9,28.9,55.0,180.1,0.9,36.1,123.8,3.4,1.3,65.0,303.9,4.7,8.8,6.1,1.7,16.6,4.1,36.1,0.6,0.8,1.4
100,South Florida,12,23.2,15.9,29.5,54.0,192.4,0.5,40.5,161.1,4.0,2.1,70.0,353.5,5.1,8.9,10.0,1.4,20.3,5.1,46.1,0.8,1.0,1.8
101,Texas State,12,23.1,18.6,32.3,57.6,193.1,1.3,36.8,149.2,4.0,1.4,69.1,342.3,5.0,9.1,8.8,2.3,20.3,5.8,57.5,0.7,1.0,1.7
102,Duke,12,22.8,22.1,34.2,64.6,237.9,0.8,43.4,181.2,4.2,1.8,77.6,419.1,5.4,10.9,9.3,1.7,21.8,6.5,61.7,1.0,0.8,1.8
103,Troy,12,22.8,22.1,34.9,63.2,238.7,1.3,30.0,101.3,3.4,1.5,64.9,339.9,5.2,10.5,5.9,1.8,18.3,5.1,44.9,0.9,0.8,1.8
104,New Mexico State,12,22.6,24.7,43.3,57.0,269.7,1.3,30.9,100.4,3.2,1.3,74.2,370.1,5.0,12.5,6.9,2.5,21.9,6.8,58.9,0.5,0.8,1.3
105,Ohio,12,22.6,16.7,26.0,64.1,184.1,0.9,35.9,187.7,5.2,1.7,61.9,371.8,6.0,8.1,9.8,2.3,20.2,6.2,58.6,0.7,0.7,1.3
106,South Carolina,13,22.6,16.2,27.7,58.6,201.2,1.7,35.8,137.2,3.8,0.7,63.5,338.3,5.3,8.1,8.0,1.7,17.8,5.8,45.9,1.0,0.8,1.8
107,Rice,12,21.5,17.1,28.6,59.8,211.7,1.3,39.4,150.4,3.8,1.6,68.0,362.1,5.3,10.4,6.6,2.5,19.5,7.4,63.6,0.5,1.3,1.8
108,Washington,12,21.5,20.3,34.1,59.4,225.0,1.3,30.7,100.6,3.3,1.3,64.8,325.6,5.0,9.6,6.6,1.8,17.9,4.3,39.9,0.6,1.3,1.9
109,Bowling Green State,12,21.4,19.8,33.9,58.5,214.8,1.0,30.5,103.5,3.4,1.3,64.4,318.3,4.9,8.7,5.8,1.3,15.6,8.0,71.5,0.7,0.8,1.4
110,Louisiana-Monroe,12,20.9,16.7,29.5,56.5,194.0,1.3,41.6,134.5,3.2,1.1,71.1,328.5,4.6,8.6,7.5,2.5,18.6,3.8,32.6,0.5,0.8,1.3
111,Kansas,12,20.8,16.3,26.4,61.5,184.8,1.3,36.1,141.4,3.9,1.3,62.5,326.3,5.2,8.3,7.1,0.9,16.3,4.1,33.7,0.3,0.8,1.1
112,UNLV,12,20.8,16.1,27.6,58.3,202.5,0.9,32.9,109.8,3.3,1.5,60.5,312.3,5.2,8.3,5.8,1.3,15.5,4.5,37.9,0.7,1.2,1.8
113,Stanford,12,20.4,19.9,31.0,64.2,215.2,1.3,27.1,87.3,3.2,1.1,58.1,302.4,5.2,9.8,4.8,2.3,16.8,6.2,43.3,0.6,1.0,1.6
114,Florida International,12,20.3,16.8,31.6,53.3,265.2,1.7,30.7,103.3,3.4,0.9,62.3,368.5,5.9,9.8,5.3,1.3,16.3,5.9,52.2,0.8,0.9,1.8
115,Georgia Southern,12,20.3,11.8,22.9,51.3,147.1,0.4,44.3,194.9,4.4,1.8,67.2,342.0,5.1,6.8,9.8,1.5,18.1,5.7,44.3,0.4,1.0,1.4
116,Illinois,12,20.2,13.8,26.8,51.2,156.2,1.1,38.8,173.8,4.5,1.0,65.7,330.0,5.0,7.3,8.5,1.8,17.6,5.0,52.8,0.5,0.5,1.0
117,Navy,12,20.1,4.0,8.1,49.5,56.8,0.5,57.3,225.9,3.9,1.6,65.3,282.7,4.3,2.3,13.3,1.3,16.8,4.4,36.2,0.4,0.3,0.7
118,San Jose State,12,20.0,17.3,33.5,51.5,219.7,1.3,29.1,121.0,4.2,1.0,62.6,340.7,5.4,9.3,6.4,1.1,16.9,7.3,65.2,1.2,0.8,2.0
119,Akron,12,19.8,18.8,29.3,64.2,217.5,1.8,35.8,124.2,3.5,0.7,65.1,341.7,5.2,10.3,7.3,1.2,18.8,5.7,46.1,1.0,0.4,1.4
120,Rutgers,13,19.7,17.8,30.3,58.6,172.2,0.7,38.4,138.6,3.6,1.5,68.7,310.8,4.5,6.9,9.3,1.2,17.5,5.0,40.7,0.3,0.8,1.1
121,Colorado,12,18.8,12.8,22.4,57.2,131.3,0.8,36.5,126.2,3.5,1.0,58.9,257.4,4.4,5.2,7.6,1.7,14.4,6.3,56.4,0.3,0.3,0.6
122,Southern Mississippi,12,17.7,13.3,23.9,55.7,145.5,1.2,38.4,121.1,3.2,0.7,62.3,266.6,4.3,6.2,7.9,1.9,16.0,8.1,62.5,1.2,1.4,2.6
123,Indiana,12,17.3,16.6,32.5,51.0,175.5,0.8,35.3,116.3,3.3,1.1,67.8,291.8,4.3,8.1,7.3,1.9,17.3,4.7,41.3,0.6,1.3,1.8
124,Arizona,12,17.2,22.3,36.9,60.5,226.3,1.0,35.2,131.0,3.7,0.5,72.1,357.3,5.0,9.9,8.1,2.7,20.7,8.8,70.4,0.4,1.5,1.9
125,Northwestern,12,16.6,17.3,30.4,57.0,177.3,1.1,37.6,145.1,3.9,1.0,68.0,322.4,4.7,7.1,9.2,1.1,17.3,4.7,41.9,0.7,1.2,1.8
126,Massachusetts,12,16.3,13.6,27.7,49.1,153.1,0.9,34.6,148.0,4.3,1.2,62.3,301.1,4.8,6.9,7.4,2.0,16.3,6.3,61.2,0.8,0.9,1.7
127,Temple,12,16.3,17.8,30.3,58.8,177.9,0.8,29.9,109.0,3.6,1.0,60.3,286.9,4.8,7.3,6.2,1.3,14.8,5.8,44.0,0.9,0.8,1.7
128,Vanderbilt,12,15.8,18.8,34.1,55.3,189.3,1.1,35.3,123.5,3.5,0.7,69.3,312.8,4.5,8.7,7.0,1.9,17.6,5.5,44.0,0.4,1.2,1.6
129,Connecticut,12,15.6,17.3,33.9,51.1,163.8,0.9,31.3,101.3,3.2,0.7,65.3,265.2,4.1,6.6,5.9,2.1,14.6,6.8,49.2,0.4,1.4,1.8
130,New Mexico,12,12.2,11.9,21.7,55.0,114.1,0.8,38.4,121.2,3.2,0.4,60.1,235.3,3.9,4.9,7.3,1.7,13.8,6.9,57.1,1.0,0.7,1.7
