Player,Team,Year,Years,,Value,APY,Guaranteed,,APY as % Of,,Inflated,Inflated,Inflated
Keaton Sutherland,Jaguars,2023,1,,"$216,000 ","$216,000 ",$0 ,,0.10%,,"$261,833 ","$261,833 ",$0 
Chris Glaser,NYJ/DAL,2023,1,,"$216,000 ","$216,000 ",$0 ,,0.10%,,"$261,833 ","$261,833 ",$0 
Nathan Gilliam,Bengals,2023,1,,"$216,000 ","$216,000 ",$0 ,,0.10%,,"$261,833 ","$261,833 ",$0 
Michael Schofield,Lions,2023,1,,"$216,000 ","$216,000 ",$0 ,,0.10%,,"$261,833 ","$261,833 ",$0 
Jaxson Kirkland,Bengals,2023,1,,"$216,000 ","$216,000 ",$0 ,,0.10%,,"$261,833 ","$261,833 ",$0 
Chris Glaser,Jets,2023,1,,"$216,000 ","$216,000 ",$0 ,,0.10%,,"$261,833 ","$261,833 ",$0 
Jack Anderson,Colts,2023,1,,"$216,000 ","$216,000 ",$0 ,,0.10%,,"$261,833 ","$261,833 ",$0 
Lecitus Smith,Eagles,2023,1,,"$216,000 ","$216,000 ",$0 ,,0.10%,,"$261,833 ","$261,833 ",$0 
Chris Glaser,Jets,2023,1,,"$221,667 ","$221,667 ",$0 ,,0.10%,,"$268,702 ","$268,702 ",$0 
Chris Glaser,Jets,2023,1,,"$251,334 ","$251,334 ",$0 ,,0.10%,,"$304,664 ","$304,664 ",$0 
Chasen Hines,Dolphins,2023,1,,"$252,333 ","$252,333 ",$0 ,,0.10%,,"$305,875 ","$305,875 ",$0 
Jordan Roos,Titans,2023,1,,"$289,800 ","$289,800 ",$0 ,,0.10%,,"$351,292 ","$351,292 ",$0 
Ike Boettger,Colts,2023,1,,"$289,800 ","$289,800 ",$0 ,,0.10%,,"$351,292 ","$351,292 ",$0 
Justin McCray,Panthers,2023,1,,"$289,800 ","$289,800 ",$0 ,,0.10%,,"$351,292 ","$351,292 ",$0 
Jordan Roos,Titans,2023,1,,"$289,800 ","$289,800 ",$0 ,,0.10%,,"$351,292 ","$351,292 ",$0 
Gabe Jackson,Panthers,2023,1,,"$289,800 ","$289,800 ",$0 ,,0.10%,,"$351,292 ","$351,292 ",$0 
Justin McCray,Panthers,2023,1,,"$289,800 ","$289,800 ",$0 ,,0.10%,,"$351,292 ","$351,292 ",$0 
Michael Schofield,Lions,2023,1,,"$289,800 ","$289,800 ",$0 ,,0.10%,,"$351,292 ","$351,292 ",$0 
Gabe Jackson,Panthers,2023,1,,"$289,800 ","$289,800 ",$0 ,,0.10%,,"$351,292 ","$351,292 ",$0 
Ike Boettger,Colts,2023,1,,"$289,800 ","$289,800 ",$0 ,,0.10%,,"$351,292 ","$351,292 ",$0 
John Molchon,Buccaneers,2023,1,,"$289,800 ","$289,800 ",$0 ,,0.10%,,"$351,292 ","$351,292 ",$0 
Ike Boettger,Colts,2023,1,,"$289,800 ","$289,800 ",$0 ,,0.10%,,"$351,292 ","$351,292 ",$0 
Gabe Jackson,Panthers,2023,1,,"$289,800 ","$289,800 ",$0 ,,0.10%,,"$351,292 ","$351,292 ",$0 
Michael Schofield,Lions,2023,1,,"$289,800 ","$289,800 ",$0 ,,0.10%,,"$351,292 ","$351,292 ",$0 
