 
Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
400,Daijun Edwards*,Georgia,SEC,15,49,215,4.4,3,14.3,2,42,21.0,0,2.8,51,257,5.0,3,,daijun-edwards-1
401,Brandon Walters*,Army,Ind,14,17,213,12.5,1,15.2,7,112,16.0,2,8.0,24,325,13.5,3,,brandon-walters-1
402,Lucious Stanley*,UAB,CUSA,13,38,213,5.6,1,16.4,5,56,11.2,0,4.3,43,269,6.3,1,,lucious-stanley-1
403,Mike Hollins,Virginia,ACC,9,49,213,4.3,2,23.7,16,83,5.2,0,9.2,65,296,4.6,2,,mike-hollins-1
404,Darius Bracy*,Central Michigan,MAC,8,36,212,5.9,0,26.5,4,37,9.3,0,4.6,40,249,6.2,0,,darius-bracy-1
405,Re'Mahn Davis,Vanderbilt,SEC,3,44,211,4.8,1,70.3,5,27,5.4,0,9.0,49,238,4.9,1,,remahn-davis-1
406,Anthony Tyus III,Northwestern,Big Ten,9,50,210,4.2,1,23.3,3,16,5.3,0,1.8,53,226,4.3,1,,anthony-tyus-iii-1
407,Sean Chambers*,Wyoming,MWC,9,71,209,2.9,3,23.2,0,0,,0,0.0,71,209,2.9,3,,sean-chambers-1
408,Aaron Young*,Rutgers,Big Ten,13,56,208,3.7,5,16.0,12,85,7.1,1,6.5,68,293,4.3,6,,aaron-young-5
409,Anthony Williams Jr.,Akron,MAC,10,56,207,3.7,1,20.7,7,74,10.6,0,7.4,63,281,4.5,1,,anthony-williams-jr-1
410,Len'Neth Whitehead*,Tennessee,SEC,8,32,207,6.5,2,25.9,1,10,10.0,0,1.3,33,217,6.6,2,,lenneth-whitehead-1
411,Tyler Vitt,Texas State,Sun Belt,6,46,207,4.5,0,34.5,0,0,,0,0.0,46,207,4.5,0,,tyler-vitt-1
412,Holton Ahlers,East Carolina,American,12,116,204,1.8,6,17.0,2,27,13.5,1,2.3,118,231,2.0,7,,holton-ahlers-1
413,Ivory Kelly-Martin*,Iowa,Big Ten,11,45,202,4.5,1,18.4,7,49,7.0,0,4.5,52,251,4.8,1,,ivory-kelly-martin-1
414,O'Maury Samuels,New Mexico State,Ind,9,65,202,3.1,1,22.4,12,72,6.0,0,8.0,77,274,3.6,1,,omaury-samuels-1
415,Tanner Mordecai,SMU,American,12,74,202,2.7,2,16.8,0,0,,0,0.0,74,202,2.7,2,,tanner-mordecai-1
